position,company,location,link,days_posted,date_posted,applied,date_applied,strikes,rank
"Data Science Manager, SMB",Facebook,"Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=303&ao=343918&s=58&guid=00000163d51c96b5bdbea4093afeadbf&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1f9b5e62&cb=1528288835689&jobListingId=2699635155,0.0,06-11-2018,No,,1.0,8.0
CONSULTANTÃ¢ÂÂ DATA SCIENCE GROUP,Opinion Dynamics,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=285018&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6e9e3b01&cb=1528288804048&jobListingId=2606089945,0.0,06-11-2018,No,,1.0,8.0
Applied Scientist - Personalization Data Sciences,Amazon,"Seattle, WA",https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=297638&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7f52a2ec&cb=1528288768602&jobListingId=2796631019,0.0,06-11-2018,No,,1.0,8.0
"Data Science Manager, Analytics",Facebook,"Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=343912&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a10e6b8b&cb=1528288755413&jobListingId=2221849147,0.0,06-11-2018,No,,1.0,8.0
Head of Data Science,Arm Holdings,"San Jose, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=357007&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8748c82a&cb=1528288725260&jobListingId=2726326284,0.0,06-11-2018,No,,1.0,8.0
Data Science Engineer,Sojern,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=331158&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b14eea02&cb=1528288706927&jobListingId=2768808956,0.0,06-11-2018,No,,1.0,8.0
Data Scientist Entry Level,Intel Corporation,"Hillsboro, OR",https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=4120&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d06920db&cb=1528288699470&jobListingId=2523980502,0.0,06-11-2018,No,,1.0,8.0
"Specialist, Data Science",Nationwide,"Columbus, OH",https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=334720&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0e321292&cb=1528288696964&jobListingId=2778359947,0.0,06-11-2018,No,,1.0,8.0
Data Science Intern Ã¢ÂÂ Summer,ID Analytics,"San Diego, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=301515&s=58&guid=00000163d5187b05b7733b40bb92b389&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b0bb0470&cb=1528288667179&jobListingId=2665683780,0.0,06-11-2018,No,,1.0,8.0
Data Science Engineer,Banjo,"Redwood City, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=270007&tgt=APPLY_START&s=58&guid=00000163d5187b05b7733b40bb92b389&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_584284ce&cb=1528288633342&jobListingId=2769932472,0.0,06-11-2018,No,,1.0,8.0
Revenue Modeling & Data Science Lead,StubHub,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=288828&s=58&guid=00000163d5187b05b7733b40bb92b389&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_20fea948&cb=1528288629433&jobListingId=2604903452,0.0,06-11-2018,No,,1.0,8.0
"Vice President, Data Sciences",Market Strategies International,"Livonia, MI",https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=265967&s=58&guid=00000163d5187b05b7733b40bb92b389&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_441b1316&cb=1528288605884&jobListingId=2682276836,0.0,06-11-2018,No,,1.0,8.0
Data Analyst I,"Milestone Technologies, Inc.","Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2812&ao=52448&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d3bd4c1b&cb=1528291430717&jobListingId=2729708869,0.0,06-11-2018,No,,1.0,8.0
Data Analyst (Must be a US Citizen),Henry M. Jackson Foundation,"San Diego, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2809&ao=4468&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dc8920e1&cb=1528291423308&jobListingId=2634738165,0.0,06-11-2018,No,,1.0,8.0
Manufacturing Data Analyst,Niagara Bottling,"Ontario, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2808&ao=134394&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_244c31b4&cb=1528291420785&jobListingId=2628857030,0.0,06-11-2018,No,,1.0,8.0
CRM Data Analyst,Boot Barn,"Irvine, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2422&ao=23480&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_839534c6&cb=1528291080111&jobListingId=2789112628,0.0,06-11-2018,No,,1.0,8.0
Business Data Analyst,,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2413&ao=225321&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_014d5bd2&cb=1528291056012&jobListingId=2564063684,0.0,06-11-2018,No,,1.0,8.0
Digital Marketing Data Analyst,Callisto Media,"Emeryville, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2408&ao=148364&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_00be6d49&cb=1528291042203&jobListingId=2747230155,0.0,06-11-2018,No,,1.0,8.0
Cybersecurity Risk Data Analyst,IBM,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2405&ao=140152&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_80063826&cb=1528291031551&jobListingId=2735771406,0.0,06-11-2018,No,,1.0,8.0
Associate Master Data Analyst (Temp to Perm),Munchkin,"Los Angeles, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2404&ao=4120&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9d210a1e&cb=1528291029636&jobListingId=2759106196,0.0,06-11-2018,No,,1.0,8.0
DATA ANALYST (COMMUNITY PROGRAM SPECIALIST IV),Port of Long Beach,"Long Beach, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2402&ao=4135&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_014c3aa5&cb=1528291024584&jobListingId=2794387315,0.0,06-11-2018,No,,1.0,8.0
"Principal, Business Strategy Analyst - Oracle Data Cloud",Oracle,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2328&ao=157444&s=58&guid=00000163d53cc9639f50da4907dc5237&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e5956713&cb=1528291003921&jobListingId=2802059879,0.0,06-11-2018,No,,1.0,8.0
"Analyst, Enterprise Business Systems - Master Data",Kite Pharma,"Santa Monica, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2325&ao=238306&s=58&guid=00000163d53cc9639f50da4907dc5237&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a817a07f&cb=1528290996671&jobListingId=2750988070,0.0,06-11-2018,No,,1.0,8.0
"Product Marketing Data Operations and Reporting Analyst (Redwood Shores, CA location only no relo p",Oracle,"Redwood City, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2324&ao=157444&s=58&guid=00000163d53cc9639f50da4907dc5237&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3a785941&cb=1528290993969&jobListingId=2802287239,0.0,06-11-2018,No,,1.0,8.0
Provider Data Services Analyst,First Health Group,"Woodland Hills, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2322&ao=37049&s=58&guid=00000163d53cc9639f50da4907dc5237&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_042ae13d&cb=1528290987293&jobListingId=2796748860,0.0,06-11-2018,No,,1.0,8.0
Report Writer/ Data Analyst,Sharecare,"San Diego, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2319&ao=280035&s=58&guid=00000163d53cc9639f50da4907dc5237&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ea70a90c&cb=1528290980215&jobListingId=2788937949,0.0,06-11-2018,No,,1.0,8.0
"Data Analyst, UberEverything",Uber,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2317&ao=134571&s=58&guid=00000163d53cc9639f50da4907dc5237&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c8e49de6&cb=1528290975041&jobListingId=2708815943,0.0,06-11-2018,No,,1.0,8.0
Transportation Analyst / Data Scientist,Resource Systems Group Inc.,"San Diego, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2313&ao=4348&s=58&guid=00000163d53cc9639f50da4907dc5237&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0bfcd15a&cb=1528290964497&jobListingId=2666004598,0.0,06-11-2018,No,,1.0,8.0
Marketing Data Analyst,Information Technology & Healthcare Staffing,"Los Angeles, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2310&ao=134687&s=58&guid=00000163d53cc9639f50da4907dc5237&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_52371415&cb=1528290956610&jobListingId=2693669782,0.0,06-11-2018,No,,1.0,8.0
Alm Data and Modeling Analyst,MUFG,"Los Angeles, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2306&ao=186496&s=58&guid=00000163d53cc9639f50da4907dc5237&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d6803408&cb=1528290945451&jobListingId=2800736100,0.0,06-11-2018,No,,1.0,8.0
Data Analyst/Project Specialist,University of Southern California,"Los Angeles, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2301&ao=37049&s=58&guid=00000163d53cc9639f50da4907dc5237&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7cb31f65&cb=1528290926472&jobListingId=2762143634,0.0,06-11-2018,No,,1.0,8.0
Product Data Analyst,The Climate Corp.,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2229&ao=4120&s=58&guid=00000163d53b371389ec559359b0c4c6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c5a9b568&cb=1528290915815&jobListingId=2789769978,0.0,06-11-2018,No,,1.0,8.0
Health Data Analyst IV,Kaiser Permanente,"Oakland, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2228&ao=37049&s=58&guid=00000163d53b371389ec559359b0c4c6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_281a5d3a&cb=1528290912607&jobListingId=2711303943,0.0,06-11-2018,No,,1.0,8.0
Data Miner/Analyst,B.E.A.T.,"Camp Pendleton, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2223&ao=209461&s=58&guid=00000163d53b371389ec559359b0c4c6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4583add6&cb=1528290899499&jobListingId=2608264536,0.0,06-11-2018,No,,1.0,8.0
ALM Data and Modeling Analyst,Mitsubishi UFJ Financial Group,"Woodland Hills, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2221&ao=328443&s=58&guid=00000163d53b371389ec559359b0c4c6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0d0f89ce&cb=1528290892003&jobListingId=2799511061,0.0,06-11-2018,No,,1.0,8.0
Data Analyst - Pharma Partnerships,Invitae,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2220&ao=173064&s=58&guid=00000163d53b371389ec559359b0c4c6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4d9f3fe9&cb=1528290889372&jobListingId=2793274156,0.0,06-11-2018,No,,1.0,8.0
German Data Analyst,Sigmar Recruitment,"Dublin, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2219&ao=352789&s=58&guid=00000163d53b371389ec559359b0c4c6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bc374250&cb=1528290886772&jobListingId=2802866771,0.0,06-11-2018,No,,1.0,8.0
Global Insights Data Analyst Data Science Internship,The Clorox Company,"Oakland, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2217&ao=133934&s=58&guid=00000163d53b371389ec559359b0c4c6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bf9a5e60&cb=1528290881269&jobListingId=2771327802,0.0,06-11-2018,No,,1.0,8.0
Customer Relationship Management (CRM) Data Analyst Project Hire,Disney,"Burbank, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2214&ao=173354&s=58&guid=00000163d53b371389ec559359b0c4c6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fc93d1d2&cb=1528290868684&jobListingId=2790001772,0.0,06-11-2018,No,,1.0,8.0
"Product Marketing Data Operations and Reporting Analyst (Redwood Shores, CA location only no relo provided)",Oracle,"Redwood City, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2212&ao=3839&s=58&guid=00000163d53b371389ec559359b0c4c6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a23b124e&cb=1528290863626&jobListingId=2755594927,0.0,06-11-2018,No,,1.0,8.0
Data Analyst - Tableau,Southern Glazer's Wine & Spirits,"Oakland, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2209&ao=133527&s=58&guid=00000163d53b371389ec559359b0c4c6&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0a593118&cb=1528290852081&jobListingId=2702175570,0.0,06-11-2018,No,,1.0,8.0
Operations Data Analyst,Seagate Technology LLC,"Cupertino, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2130&ao=353321&s=58&guid=00000163d539b6779d359805cb34ad9c&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5303c86b&cb=1528290814963&jobListingId=2790084636,0.0,06-11-2018,No,,1.0,8.0
"(USA-CA-Mountain View) Data Scientist/Quantitative Analyst, Engineering, University Graduate",Google Inc.,"Mountain View, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2129&ao=173354&s=58&guid=00000163d539b6779d359805cb34ad9c&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_21ae21d7&cb=1528290812391&jobListingId=2798149975,0.0,06-11-2018,No,,1.0,8.0
Data Analyst with Solugenix Corporation,,"Los Angeles, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2416&ao=37049&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fdcc8317&cb=1528291062899&jobListingId=2802120408,0.0,06-11-2018,No,,1.0,8.0
Finance Data & Applications Analyst/Developer - Shared Services/Roseville,Memorial Hospital Los Banos,"Sacramento, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2424&ao=3839&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5d599168&cb=1528291085641&jobListingId=2749381668,0.0,06-11-2018,No,,1.0,8.0
Marketplace Data Analyst,Uber,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2803&ao=134571&s=58&guid=00000163d543f5e9b86fb7e739192c49&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_122696d1&cb=1528291407390&jobListingId=2513526763,0.0,06-11-2018,No,,1.0,8.0
Data Analyst - Int,,"Oakland, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2429&ao=14295&tgt=APPLY_START&s=58&guid=00000163d53e2b82a6cefacfb215168b&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_dd628b76&cb=1528291099146&jobListingId=2709538816,0.0,06-11-2018,No,,1.0,8.0
Risk Adjustment Data Analyst,Dynamic Healthcare Systems,"Irvine, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2730&ao=4128&s=58&guid=00000163d54269c3ba17eca115cefbc5&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_968aa1bf&cb=1528291388668&jobListingId=2707918400,0.0,06-11-2018,No,,1.0,8.0
Health Data Analyst III,Blue Shield of California,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2727&ao=133383&s=58&guid=00000163d54269c3ba17eca115cefbc5&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dd73e25a&cb=1528291380797&jobListingId=2767424165,0.0,06-11-2018,No,,1.0,8.0
Data Management Analyst 2,Northrop Grumman,"Monterey, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2724&ao=132966&s=58&guid=00000163d54269c3ba17eca115cefbc5&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5273968d&cb=1528291371948&jobListingId=2783093221,0.0,06-11-2018,No,,1.0,8.0
Data Analytics & Rporting Analyst,"Integreon Managed Solutions, Inc.","Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=2718&ao=27509&s=58&guid=00000163d54269c3ba17eca115cefbc5&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_92875699&cb=1528291356599&jobListingId=2784687393,0.0,06-11-2018,No,,1.0,8.0
